topic_id,topic_label,n_docs,ai_sentiment_mean,human_sentiment_mean,admiration_mean,gratitude_mean,love_mean,sadness_mean,grief_mean,nervousness_mean
31,robot / robots / robotics,69,1.0,-1.0,0.12344269469495107,0.030518339478252186,0.08716204776799819,0.010036336626280505,0.0007649833856123513,0.00243084445115739
32,reroutes / rerouted / reroute,69,-1.0,,0.022816429216671142,0.03463523625238019,0.01583693661149996,0.0672763946864322,0.002648621090212027,0.008853700438613896
34,money / companies / company,68,-0.3333333333333333,-1.0,0.051125309144160434,0.002025792211283902,0.0022726526080719743,0.05301175672845121,0.0017821666999011272,0.0043800110118301
33,app / mobile / desktop,68,,,0.02786010513356065,0.1139156216477739,0.013858363271591609,0.027025304060182807,0.0015057497891094124,0.0013577391148240114
35,prompt thank / prompt / beautiful prompt,67,1.0,1.0,0.26435711196234535,0.7370251214193395,0.11668959639813584,0.0024131136127997803,0.0006592388550660559,0.00046569896623433165
36,ash / room / rooms,65,0.5714285714285714,-1.0,0.06693192781665577,0.04727732528789112,0.13979968183064975,0.02889993955166294,0.0018793334803866367,0.0024140279583382204
37,lani / dream / looks,64,0.8571428571428571,1.0,0.1737607871182263,0.09681214911165625,0.1422052115558472,0.027587254262471106,0.0010897862139245262,0.001079211686032977
38,memory / memories / chat,63,0.16666666666666666,,0.05226453265363705,0.09178137549731348,0.02358918664431835,0.014501861528500855,0.0007673106574368412,0.004166635756042697
39,legal / lawyers / law,62,-1.0,-1.0,0.011311897161161346,0.017276672963963655,0.0011202368045961785,0.006616826601056082,0.0005938174982739222,0.0009007199804463814
40,migration / migrating / sillytavern,61,0.25,-1.0,0.049489417573299686,0.14589470748829686,0.026357139707886477,0.04350240872485838,0.002232542926336822,0.0036463545463343732
41,opus / opus opus / usage,61,0.5,,0.1691872783722814,0.05869282705620595,0.11698862660550283,0.00969955935686842,0.0010684629187529876,0.005363184778228761
42,removed removed / removed / btw,61,,,0.002661730075010755,0.0013914101367785794,0.0021944809533258687,0.024976241019684212,0.002674682860235974,0.0011067832812960794
44,removed removed / removed,58,,,0.0026877420304086187,0.0013895064656590593,0.002205195700235922,0.025366397104868346,0.0027142627313251383,0.0011210715601919219
43,Topic 43,58,,,0.004484133847089934,0.0008919982833974465,0.045989597117897636,0.005489831717066659,0.0006105929220713483,0.0006070587751937324
46,Topic 46,57,,,0.007881223636663012,0.0007473165815259053,0.019703528827481102,0.004782438120935439,0.0006431075203101756,0.0007261081523131253
45,questions / replies / ask,57,-0.3333333333333333,,0.03886336670869863,0.001694320862920824,0.029398310411794994,0.0023788623613909933,0.00040409341237503674,0.0008624354385047857
47,sarina / avatar / hair,56,0.5,0.0,0.058655022342073995,0.041388193388619196,0.03131719267029049,0.002010959646473306,0.00048655244531151505,0.0006458082641204653
48,hugs / hug / sending,56,0.0,0.0,0.09152270406983527,0.08901468785188626,0.18224374516908678,0.11709433778430269,0.006288543047308589,0.010878840469168998
49,agi / ela / doesn want,56,0.5555555555555556,0.0,0.10239238781338957,0.014025960488392488,0.08921487067761648,0.013174048446152093,0.0012382899146489632,0.005266530077538586
